cell_id,structure,baseline,wots_w,experiment_id,operation_csv,operation_sha256,operation_rows,component_csv,component_sha256,component_rows,git_commit,temperature_start_c,temperature_end_c,throttling,protocol,analysis_status
11,XMSS16,FAST,16,PI21E_XMSS16_W16_FAST_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_FAST_XMSS-SHA2_16_256_PI21E_XMSS16_W16_FAST_FINAL01_operations_instrumented.csv,7df47c87fdda7446b55d41bbba8e3de67ab4d9df5ea574325a8d5b16e3c144ee,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_FAST_XMSS-SHA2_16_256_PI21E_XMSS16_W16_FAST_FINAL01_components.csv,83e1e28bd71163723f5f183b40b03976a648b4083043a774ee093ee51328f610,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSS16-WOTS_W16-RPI5_PORT,57.1,57.6,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
12,XMSS16,FAST,256,PI68F_XMSS16_W256_FAST_FINAL_CORRECTED01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_FAST_XMSS-SHA2_16_256_PI68F_XMSS16_W256_FAST_FINAL_CORRECTED01_operations_instrumented.csv,74b20d817025f52a377145c988d8bab5012b1f45f2f066d17119294d849d154d,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_FAST_XMSS-SHA2_16_256_PI68F_XMSS16_W256_FAST_FINAL_CORRECTED01_components.csv,23dc07d691a3b52c64ed2fbfc193395311274a162387685f424143eca2fd0290,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSS16-WOTS_W256-MACROFIX-RPI5_PORT,56.5,58.7,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
13,XMSSMT20_2,REF,4,PI24F_XMSSMT20_2_W4_REF_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_REF_XMSSMT-SHA2_20_2_256_PI24F_XMSSMT20_2_W4_REF_FINAL01_operations_instrumented.csv,422b2851dfb582730fc16f75ea44d9766cb10dd56474e90cca1b0190e6fb8ec2,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_REF_XMSSMT-SHA2_20_2_256_PI24F_XMSSMT20_2_W4_REF_FINAL01_components.csv,86d13c2b98c6179ca4b13ce2d0f13504fafa230e4e44c7971edfd47a1c39cae3,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_2-WOTS_W4-RPI5_PORT,57.6,57.6,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
14,XMSSMT20_2,REF,16,PI26E_XMSSMT20_2_W16_REF_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_REF_XMSSMT-SHA2_20_2_256_PI26E_XMSSMT20_2_W16_REF_FINAL01_operations_instrumented.csv,74bcbc11dad4a253eb816654bc82ea35810699d53b2bd47b9a0ce7c6a6262039,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_REF_XMSSMT-SHA2_20_2_256_PI26E_XMSSMT20_2_W16_REF_FINAL01_components.csv,a7124588dd33963eb6671b85b77a464083fbb9ee058cdca52d6506025e1967ed,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_2-WOTS_W16-RPI5_PORT,56.5,56.5,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
15,XMSSMT20_2,REF,256,PI69F_XMSSMT20_2_W256_REF_FINAL_CORRECTED01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_REF_XMSSMT-SHA2_20_2_256_PI69F_XMSSMT20_2_W256_REF_FINAL_CORRECTED01_operations_instrumented.csv,4a4fea8c8107c9a0014800a1c71d1369882d25c6c7024f52f5cbd9c6f40e8d11,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_REF_XMSSMT-SHA2_20_2_256_PI69F_XMSSMT20_2_W256_REF_FINAL_CORRECTED01_components.csv,af0e613e4b18f122fbd0e689a323edd841bad1d13217bbdffcdd4e66776a2646,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_2-WOTS_W256-MACROFIX-RPI5_PORT,58.2,57.6,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
16,XMSSMT20_2,FAST,4,PI25E_XMSSMT20_2_W4_FAST_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_FAST_XMSSMT-SHA2_20_2_256_PI25E_XMSSMT20_2_W4_FAST_FINAL01_operations_instrumented.csv,23411943e998d33ac8e3c7a23c8dbc632f1151d1f801454ee63c3b1c646ecec0,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_FAST_XMSSMT-SHA2_20_2_256_PI25E_XMSSMT20_2_W4_FAST_FINAL01_components.csv,6b2707ef914d22073dab9d1bceab586b49077988c97e6126264f6982d9759088,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_2-WOTS_W4-RPI5_PORT,59.8,57.1,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
17,XMSSMT20_2,FAST,16,PI27E_XMSSMT20_2_W16_FAST_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_FAST_XMSSMT-SHA2_20_2_256_PI27E_XMSSMT20_2_W16_FAST_FINAL01_operations_instrumented.csv,baeece61dd08cf4f17958f1ba006a3b6149d957adb62450ee07ee3a512e62722,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_FAST_XMSSMT-SHA2_20_2_256_PI27E_XMSSMT20_2_W16_FAST_FINAL01_components.csv,97feed6493224d461111c51303c9173da7a82968f158c5cbf3fcaa3231bbf8e9,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_2-WOTS_W16-RPI5_PORT,57.6,56.5,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
18,XMSSMT20_2,FAST,256,PI70F_XMSSMT20_2_W256_FAST_FINAL_CORRECTED01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_FAST_XMSSMT-SHA2_20_2_256_PI70F_XMSSMT20_2_W256_FAST_FINAL_CORRECTED01_operations_instrumented.csv,7f52856d5cc50a9d8f867751c5f48d11976c3a764cd82528e36db212f21f8756,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_FAST_XMSSMT-SHA2_20_2_256_PI70F_XMSSMT20_2_W256_FAST_FINAL_CORRECTED01_components.csv,6981c4b779dd0b2db03bc23995a0ecac7ef80c56fb0f0393978893573aaa7709,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_2-WOTS_W256-MACROFIX-RPI5_PORT,58.7,56.0,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
19,XMSSMT20_4,REF,4,PI60D_XMSSMT20_4_W4_REF_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_REF_XMSSMT-SHA2_20_4_256_PI60D_XMSSMT20_4_W4_REF_FINAL01_operations_instrumented.csv,ddf23ce7e9b03d95bf48190275856cfa1a3bf481cfe4bcefcd3f5749f993730a,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_REF_XMSSMT-SHA2_20_4_256_PI60D_XMSSMT20_4_W4_REF_FINAL01_components.csv,6d7d2d2e294b3b8701773b591fc1df2f51aad70bc885370c16b98bfb126c554d,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_4-WOTS_W4-EXPERIMENTAL-RPI5_PORT,59.8,58.7,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
20,XMSSMT20_4,REF,16,PI61E_XMSSMT20_4_W16_REF_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_REF_XMSSMT-SHA2_20_4_256_PI61E_XMSSMT20_4_W16_REF_FINAL01_operations_instrumented.csv,b2227718f113fd18f186f903c11bd52c3ec22289ce4b02b74ff6486fa433d7a1,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_REF_XMSSMT-SHA2_20_4_256_PI61E_XMSSMT20_4_W16_REF_FINAL01_components.csv,efc8939cd16e1ba846ce73aadf226714a19e5d9ad519615324a28c9dbf287f36,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_4-WOTS_W16-NATIVE-RPI5_PORT,59.8,59.3,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
21,XMSSMT20_4,REF,256,PI62E_XMSSMT20_4_W256_REF_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_REF_XMSSMT-SHA2_20_4_256_PI62E_XMSSMT20_4_W256_REF_FINAL01_operations_instrumented.csv,32aacf145101f4749a8c2649bbd0b13a923c7f98c461ee9301f95299f013306e,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_REF_XMSSMT-SHA2_20_4_256_PI62E_XMSSMT20_4_W256_REF_FINAL01_components.csv,dec15401020269fbd90c1d6564d7b83a1b13a24ce2bf53de9c6b34e5786b086e,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_4-WOTS_W256-MACROFIX-RPI5_PORT,56.0,57.1,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
22,XMSSMT20_4,FAST,4,PI57F_XMSSMT20_4_W4_FAST_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_FAST_XMSSMT-SHA2_20_4_256_PI57F_XMSSMT20_4_W4_FAST_FINAL01_operations_instrumented.csv,31114679a28134f4eca6a30f14a0983e9200d78baf05aa424d628401eee175f5,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_FAST_XMSSMT-SHA2_20_4_256_PI57F_XMSSMT20_4_W4_FAST_FINAL01_components.csv,1a79c72702cc4ac077e991e8fbe688efdbffb01566274e599dec35d6dea4887d,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_4-WOTS_W4-RPI5_PORT,57.0,57.6,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
23,XMSSMT20_4,FAST,16,PI58D_XMSSMT20_4_W16_FAST_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_FAST_XMSSMT-SHA2_20_4_256_PI58D_XMSSMT20_4_W16_FAST_FINAL01_operations_instrumented.csv,65d97e1064a61fae92382e9c81910b7e385fefbb92dd21030b6f96d5d59607c2,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_FAST_XMSSMT-SHA2_20_4_256_PI58D_XMSSMT20_4_W16_FAST_FINAL01_components.csv,c240f67be35eb2f62e6a1d6b29eb40f5ecca6ceee139c2e7f1506374d17cd89d,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_4-WOTS_W16-RPI5_PORT,58.7,59.3,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
24,XMSSMT20_4,FAST,256,PI59D_XMSSMT20_4_W256_FAST_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSSMT_FAST_XMSSMT-SHA2_20_4_256_PI59D_XMSSMT20_4_W256_FAST_FINAL01_operations_instrumented.csv,60a0abe863dcf7069de8c502a6fa25c66411c48898c11d4076d5e1b9ef1f4cda,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSSMT_FAST_XMSSMT-SHA2_20_4_256_PI59D_XMSSMT20_4_W256_FAST_FINAL01_components.csv,bfd5eb6f346c631f7869bc3e2b8b18c5ac7b4ec10b71eebe590e632e16a14c29,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSSMT20_4-WOTS_W256-MACROFIX-RPI5_PORT,59.3,58.2,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
