parameter_set,key_rep,boundary_index,window_start_index,window_end_index,n,mean_sign_ns,median_sign_ns,sd_sign_ns,cv_sign_pct,min_sign_ns,boundary_sign_ns,max_sign_ns,max_relative_index,max_signature_index
XMSSMT-SHA2_20/4_256,PUB_R3,512,508,516,9,8071092.666667,8461981.000000,2612010.756705,32.362542,3466815,10936648,10957074,4,516
XMSSMT-SHA2_20/4_256,PUB_R3,544,540,548,9,6431154.333333,6058870.000000,1560977.822474,24.272125,3462481,6041981,8602000,3,547
XMSSMT-SHA2_20/4_256,PUB_R3,576,572,580,9,6458002.000000,6095000.000000,1523105.417808,23.584778,3513407,6083611,8644926,3,579
XMSSMT-SHA2_20/4_256,PUB_R3,608,604,612,9,6398654.333333,6103778.000000,1533492.637499,23.965862,3442000,5901574,8491167,3,611
XMSSMT-SHA2_20/4_256,PUB_R3,640,636,644,9,7014215.777778,6176278.000000,2092791.756986,29.836433,3657963,10941203,10941203,0,640
XMSSMT-SHA2_20/4_256,PUB_R3,672,668,676,9,6434487.777778,6057908.000000,1505049.734456,23.390358,3642889,5885482,8592778,3,675
XMSSMT-SHA2_20/4_256,PUB_R3,704,700,708,9,6468839.555556,6173482.000000,1501758.193273,23.215264,3690685,6175630,8691870,4,708
XMSSMT-SHA2_20/4_256,PUB_R3,736,732,740,9,6443827.222222,6183371.000000,1505138.517292,23.357835,3560481,5905870,8555630,3,739
XMSSMT-SHA2_20/4_256,PUB_R3,768,764,772,9,6972463.000000,6164407.000000,2112198.263936,30.293431,3653834,10987574,10987574,0,768
XMSSMT-SHA2_20/4_256,PUB_R3,800,796,804,9,6463678.777778,6063611.000000,1501806.882277,23.234553,3663296,6033444,8561926,3,803
XMSSMT-SHA2_20/4_256,PUB_R3,832,828,836,9,6452769.444444,6104129.000000,1473193.641978,22.830409,3660593,6012611,8495092,3,835
XMSSMT-SHA2_20/4_256,PUB_R3,864,860,868,9,6433226.444444,6072130.000000,1551176.583456,24.111954,3461148,6004482,8563870,3,867
XMSSMT-SHA2_20/4_256,PUB_R3,896,892,900,9,6455201.777778,6082797.000000,1501136.287807,23.254676,3680722,6082797,8628204,4,900
XMSSMT-SHA2_20/4_256,PUB_R3,928,924,932,9,6468094.666667,6126778.000000,1496848.340838,23.142029,3621277,6098277,8491722,3,931
XMSSMT-SHA2_20/4_256,PUB_R3,960,956,964,9,6270055.555556,6101555.000000,1546738.813850,24.668662,3640260,6175259,8596481,4,964
XMSSMT-SHA2_20/4_256,PUB_R3,992,988,996,9,6457376.666667,6104666.000000,1549020.785803,23.988391,3427112,6104666,8581278,3,995
