parameter_set,key_rep,reference_index,relative_index,signature_index,sign_ns
XMSS-SHA2_16_256,PUB_R1,16384,3,16387,20702129
XMSS-SHA2_16_256,PUB_R1,16384,4,16388,23042149
XMSS-SHA2_16_256,PUB_R1,32768,-4,32764,3639093
XMSS-SHA2_16_256,PUB_R1,32768,-3,32765,3521055
XMSS-SHA2_16_256,PUB_R1,32768,-2,32766,3536555
XMSS-SHA2_16_256,PUB_R1,32768,-1,32767,20616426
XMSS-SHA2_16_256,PUB_R1,32768,0,32768,23122074
XMSS-SHA2_16_256,PUB_R1,32768,1,32769,20709667
XMSS-SHA2_16_256,PUB_R1,32768,2,32770,23067722
XMSS-SHA2_16_256,PUB_R1,32768,3,32771,20397314
XMSS-SHA2_16_256,PUB_R1,32768,4,32772,23239852
XMSS-SHA2_16_256,PUB_R2,4,-4,0,3549130
XMSS-SHA2_16_256,PUB_R2,4,-3,1,3490815
XMSS-SHA2_16_256,PUB_R2,4,-2,2,3456407
XMSS-SHA2_16_256,PUB_R2,4,-1,3,8223315
XMSS-SHA2_16_256,PUB_R2,4,0,4,3618388
XMSS-SHA2_16_256,PUB_R2,4,1,5,3397852
XMSS-SHA2_16_256,PUB_R2,4,2,6,3492834
XMSS-SHA2_16_256,PUB_R2,4,3,7,17859166
XMSS-SHA2_16_256,PUB_R2,4,4,8,3366093
XMSS-SHA2_16_256,PUB_R2,8,-4,4,3618388
XMSS-SHA2_16_256,PUB_R2,8,-3,5,3397852
