parameter_set,key_rep,reference_index,window_start_index,window_end_index,n,mean_sign_ns,median_sign_ns,sd_sign_ns,cv_sign_pct,min_sign_ns,reference_sign_ns,max_sign_ns,max_relative_index,max_signature_index
XMSS-SHA2_16_256,PUB_R2,4,0,8,9,5606000.000000,3492834.000000,4855731.917592,86.616695,3366093,3618388,17859166,3,7
XMSS-SHA2_16_256,PUB_R2,8,4,12,9,5604681.222222,3496982.000000,4865440.555228,86.810300,3331167,3366093,17859166,-1,7
XMSS-SHA2_16_256,PUB_R2,16,12,20,9,7731926.111111,3585556.000000,7238031.069057,93.612264,3331018,20125574,20300389,-1,15
XMSS-SHA2_16_256,PUB_R2,32,28,36,9,11972137.777778,8387870.000000,9080149.303739,75.844009,3380352,22701315,22701315,0,32
XMSS-SHA2_16_256,PUB_R2,64,60,68,9,15375144.333333,20104945.000000,8974505.467068,58.370219,3458926,22446000,22693686,2,66
XMSS-SHA2_16_256,PUB_R2,128,124,132,9,15451888.666667,20270519.000000,9025211.459920,58.408468,3406018,22515537,22631092,2,130
XMSS-SHA2_16_256,PUB_R2,256,252,260,9,15445701.555556,20131630.000000,9016651.008921,58.376442,3487796,22655889,22729815,4,260
XMSS-SHA2_16_256,PUB_R2,512,508,516,9,15421343.666667,20219111.000000,9064555.611124,58.779285,3327555,22670926,22670926,0,512
XMSS-SHA2_16_256,PUB_R2,1024,1020,1028,9,15513897.000000,20256500.000000,9010618.021153,58.080945,3487074,22744093,22744093,0,1024
XMSS-SHA2_16_256,PUB_R2,2048,2044,2052,9,15486496.000000,20306426.000000,9039401.460529,58.369572,3489463,22624833,22669241,4,2052
XMSS-SHA2_16_256,PUB_R2,4096,4092,4100,9,15451345.666667,20281630.000000,9019887.902969,58.376067,3377852,22624925,22706000,4,4100
XMSS-SHA2_16_256,PUB_R2,8192,8188,8196,9,15462037.333333,20221445.000000,9010408.106489,58.274391,3465556,22622500,22699093,2,8194
XMSS-SHA2_16_256,PUB_R2,16384,16380,16388,9,15495761.333333,20276704.000000,9027493.325012,58.257824,3462963,22624018,22741075,2,16386
XMSS-SHA2_16_256,PUB_R2,32768,32764,32772,9,15451572.000000,20309833.000000,9088541.971634,58.819530,3331611,22665611,22665611,0,32768
XMSS-SHA2_16_256,PUB_R3,4,0,8,9,5828438.333333,3644463.000000,5083394.255896,87.217089,3429371,3620370,18684889,3,7
XMSS-SHA2_16_256,PUB_R3,8,4,12,9,5873640.000000,3668223.000000,5092286.169116,86.697281,3429371,3429371,18684889,-1,7
XMSS-SHA2_16_256,PUB_R3,16,12,20,9,8019440.000000,3696740.000000,7507287.129812,93.613608,3495574,20953351,20964352,-1,15
XMSS-SHA2_16_256,PUB_R3,32,28,36,9,12478680.777778,8705092.000000,9459481.595620,75.805141,3524204,23487981,23487981,0,32
XMSS-SHA2_16_256,PUB_R3,64,60,68,9,16088555.777778,20980722.000000,9403686.800544,58.449540,3545778,23634667,23687445,2,66
XMSS-SHA2_16_256,PUB_R3,128,124,132,9,16034197.555556,21044944.000000,9410987.589114,58.693225,3421685,23434852,23519833,2,130
XMSS-SHA2_16_256,PUB_R3,256,252,260,9,16060442.333333,21063611.000000,9374183.363450,58.368152,3584556,23532611,23532611,0,256
XMSS-SHA2_16_256,PUB_R3,512,508,516,9,16025991.888889,20932093.000000,9359544.017839,58.402276,3586760,23340315,23749759,4,516
XMSS-SHA2_16_256,PUB_R3,1024,1020,1028,9,16064037.222222,21102260.000000,9329506.645702,58.076974,3656408,23381648,23444723,4,1028
XMSS-SHA2_16_256,PUB_R3,2048,2044,2052,9,15998323.111111,20981500.000000,9336760.111899,58.360867,3519241,23438074,23478019,4,2052
XMSS-SHA2_16_256,PUB_R3,4096,4092,4100,9,15999606.777778,20883333.000000,9341574.677764,58.386277,3613908,23446222,23476740,4,4100
XMSS-SHA2_16_256,PUB_R3,8192,8188,8196,9,16018341.555556,21020778.000000,9342989.200520,58.326820,3584593,23494778,23494778,0,8192
XMSS-SHA2_16_256,PUB_R3,16384,16380,16388,9,16055214.000000,20941778.000000,9363536.628762,58.320846,3544222,23654611,23654611,0,16384
XMSS-SHA2_16_256,PUB_R3,32768,32764,32772,9,16064389.000000,20994852.000000,9382937.931654,58.408309,3600500,23625259,23625259,0,32768
