parameter_set,key_rep,boundary_index,relative_index,signature_index,sign_ns
XMSSMT-SHA2_20/4_256,PUB_R1,32,-1,31,10539722
XMSSMT-SHA2_20/4_256,PUB_R1,32,0,32,11894130
XMSSMT-SHA2_20/4_256,PUB_R1,32,1,33,9090686
XMSSMT-SHA2_20/4_256,PUB_R1,32,2,34,11779296
XMSSMT-SHA2_20/4_256,PUB_R1,32,3,35,9164240
XMSSMT-SHA2_20/4_256,PUB_R1,32,4,36,11767518
XMSSMT-SHA2_20/4_256,PUB_R1,64,-4,60,9198204
XMSSMT-SHA2_20/4_256,PUB_R1,64,-3,61,6506093
XMSSMT-SHA2_20/4_256,PUB_R1,64,-2,62,8990814
XMSSMT-SHA2_20/4_256,PUB_R1,64,-1,63,7705074
XMSSMT-SHA2_20/4_256,PUB_R1,64,0,64,9202241
XMSSMT-SHA2_20/4_256,PUB_R1,64,1,65,6408370
XMSSMT-SHA2_20/4_256,PUB_R1,64,2,66,9141444
XMSSMT-SHA2_20/4_256,PUB_R1,64,3,67,9111426
XMSSMT-SHA2_20/4_256,PUB_R1,64,4,68,9186778
XMSSMT-SHA2_20/4_256,PUB_R1,96,-4,92,9031185
XMSSMT-SHA2_20/4_256,PUB_R1,96,-3,93,6430222
XMSSMT-SHA2_20/4_256,PUB_R1,96,-2,94,9180666
XMSSMT-SHA2_20/4_256,PUB_R1,96,-1,95,7916185
XMSSMT-SHA2_20/4_256,PUB_R1,96,0,96,9250686
XMSSMT-SHA2_20/4_256,PUB_R1,96,1,97,6382741
XMSSMT-SHA2_20/4_256,PUB_R1,96,2,98,8997648
XMSSMT-SHA2_20/4_256,PUB_R1,96,3,99,9162019
XMSSMT-SHA2_20/4_256,PUB_R1,96,4,100,9056723
XMSSMT-SHA2_20/4_256,PUB_R1,128,-4,124,6476334
XMSSMT-SHA2_20/4_256,PUB_R1,128,-3,125,3960611
XMSSMT-SHA2_20/4_256,PUB_R1,128,-2,126,6409703
XMSSMT-SHA2_20/4_256,PUB_R1,128,-1,127,7879315
XMSSMT-SHA2_20/4_256,PUB_R1,128,0,128,11832537
XMSSMT-SHA2_20/4_256,PUB_R1,128,1,129,6614871
XMSSMT-SHA2_20/4_256,PUB_R1,128,2,130,6675612
XMSSMT-SHA2_20/4_256,PUB_R1,128,3,131,9211055
XMSSMT-SHA2_20/4_256,PUB_R1,128,4,132,9252056
XMSSMT-SHA2_20/4_256,PUB_R1,160,-4,156,6645259
XMSSMT-SHA2_20/4_256,PUB_R1,160,-3,157,4012648
XMSSMT-SHA2_20/4_256,PUB_R1,160,-2,158,6572445
XMSSMT-SHA2_20/4_256,PUB_R1,160,-1,159,7775722
XMSSMT-SHA2_20/4_256,PUB_R1,160,0,160,6325871
XMSSMT-SHA2_20/4_256,PUB_R1,160,1,161,6577370
XMSSMT-SHA2_20/4_256,PUB_R1,160,2,162,6501333
XMSSMT-SHA2_20/4_256,PUB_R1,160,3,163,9254852
XMSSMT-SHA2_20/4_256,PUB_R1,160,4,164,9144500
XMSSMT-SHA2_20/4_256,PUB_R1,192,-4,188,6612185
XMSSMT-SHA2_20/4_256,PUB_R1,192,-3,189,3891074
XMSSMT-SHA2_20/4_256,PUB_R1,192,-2,190,6560519
XMSSMT-SHA2_20/4_256,PUB_R1,192,-1,191,7775222
XMSSMT-SHA2_20/4_256,PUB_R1,192,0,192,6505463
XMSSMT-SHA2_20/4_256,PUB_R1,192,1,193,6593389
XMSSMT-SHA2_20/4_256,PUB_R1,192,2,194,6507981
XMSSMT-SHA2_20/4_256,PUB_R1,192,3,195,9017667
XMSSMT-SHA2_20/4_256,PUB_R1,192,4,196,9200944
XMSSMT-SHA2_20/4_256,PUB_R1,224,-4,220,6528500
XMSSMT-SHA2_20/4_256,PUB_R1,224,-3,221,3973000
XMSSMT-SHA2_20/4_256,PUB_R1,224,-2,222,6536074
XMSSMT-SHA2_20/4_256,PUB_R1,224,-1,223,7857370
XMSSMT-SHA2_20/4_256,PUB_R1,224,0,224,6605000
XMSSMT-SHA2_20/4_256,PUB_R1,224,1,225,6526593
XMSSMT-SHA2_20/4_256,PUB_R1,224,2,226,6498074
XMSSMT-SHA2_20/4_256,PUB_R1,224,3,227,9218981
XMSSMT-SHA2_20/4_256,PUB_R1,224,4,228,9266926
XMSSMT-SHA2_20/4_256,PUB_R1,256,-4,252,6390463
XMSSMT-SHA2_20/4_256,PUB_R1,256,-3,253,3859148
XMSSMT-SHA2_20/4_256,PUB_R1,256,-2,254,6314741
XMSSMT-SHA2_20/4_256,PUB_R1,256,-1,255,7885482
XMSSMT-SHA2_20/4_256,PUB_R1,256,0,256,11882574
XMSSMT-SHA2_20/4_256,PUB_R1,256,1,257,9098260
XMSSMT-SHA2_20/4_256,PUB_R1,256,2,258,11676555
XMSSMT-SHA2_20/4_256,PUB_R1,256,3,259,9193481
XMSSMT-SHA2_20/4_256,PUB_R1,256,4,260,11797055
XMSSMT-SHA2_20/4_256,PUB_R1,288,-4,284,6567741
XMSSMT-SHA2_20/4_256,PUB_R1,288,-3,285,3939093
XMSSMT-SHA2_20/4_256,PUB_R1,288,-2,286,6531259
XMSSMT-SHA2_20/4_256,PUB_R1,288,-1,287,7670241
XMSSMT-SHA2_20/4_256,PUB_R1,288,0,288,6535796
XMSSMT-SHA2_20/4_256,PUB_R1,288,1,289,6654593
XMSSMT-SHA2_20/4_256,PUB_R1,288,2,290,6399537
XMSSMT-SHA2_20/4_256,PUB_R1,288,3,291,9163463
XMSSMT-SHA2_20/4_256,PUB_R1,288,4,292,9245555
XMSSMT-SHA2_20/4_256,PUB_R1,320,-4,316,6636926
XMSSMT-SHA2_20/4_256,PUB_R1,320,-3,317,3923537
XMSSMT-SHA2_20/4_256,PUB_R1,320,-2,318,6477814
XMSSMT-SHA2_20/4_256,PUB_R1,320,-1,319,7874926
XMSSMT-SHA2_20/4_256,PUB_R1,320,0,320,6532851
XMSSMT-SHA2_20/4_256,PUB_R1,320,1,321,6668722
XMSSMT-SHA2_20/4_256,PUB_R1,320,2,322,6481185
XMSSMT-SHA2_20/4_256,PUB_R1,320,3,323,9043297
XMSSMT-SHA2_20/4_256,PUB_R1,320,4,324,9081277
XMSSMT-SHA2_20/4_256,PUB_R1,352,-4,348,6471463
XMSSMT-SHA2_20/4_256,PUB_R1,352,-3,349,3874648
XMSSMT-SHA2_20/4_256,PUB_R1,352,-2,350,6519908
XMSSMT-SHA2_20/4_256,PUB_R1,352,-1,351,7786481
XMSSMT-SHA2_20/4_256,PUB_R1,352,0,352,6533759
