parameter_set,metric,replicate_count,r1_run_order,r1_mean_ns,r1_median_ns,r1_p95_ns,r1_p99_ns,r1_max_ns,r2_run_order,r2_mean_ns,r2_median_ns,r2_p95_ns,r2_p99_ns,r2_max_ns,r3_run_order,r3_mean_ns,r3_median_ns,r3_p95_ns,r3_p99_ns,r3_max_ns,mean_replicate_medians_ns,range_replicate_medians_ns,cv_replicate_means_pct
XMSS-SHA2_10_256,sign_ns,3,1,10657100.776149,13001018.000000,15483665.000000,15546525.320000,15668907,8,10683765.618768,13029944.000000,15511366.300000,15607140.660000,15647407,10,10653349.319648,12999963.000000,15476790.800000,15535739.240000,15643444,13010308.333333,29981.000000,0.155506
XMSS-SHA2_10_256,verify_ns,3,1,1298842.924731,1304648.000000,1437031.400000,1481020.300000,1531241,8,1298689.161290,1305556.000000,1438424.200000,1498475.360000,1539075,10,1298395.281525,1280945.000000,1434918.500000,1495538.000000,1560630,1297049.666667,24611.000000,0.017514
XMSS-SHA2_16_256,sign_ns,3,4,18227076.618616,20706074.000000,23222876.400000,23337240.300000,43992389,5,17848247.254490,20283111.000000,22721648.000000,22787493.880000,47147462,11,18533694.373816,21063703.000000,23611431.400000,23703690.380000,48744593,20684296.000000,780592.000000,1.886265
XMSS-SHA2_16_256,verify_ns,3,4,1352774.318624,1354537.000000,1501611.000000,1556419.880000,1826555,5,1321363.717159,1325092.000000,1461851.300000,1520759.660000,5324352,11,1371411.392325,1373537.000000,1519302.400000,1577814.660000,5582667,1351055.333333,48445.000000,1.875695
XMSSMT-SHA2_20/2_256,sign_ns,3,3,13493434.103027,15916426.000000,18509560.000000,18597099.500000,19779241,6,13085405.786621,15432648.500000,17913157.250000,17980025.150000,31848056,9,13053150.020996,15401287.000000,17877426.000000,17945148.050000,35871537,15583453.833333,515139.000000,1.857721
XMSSMT-SHA2_20/2_256,verify_ns,3,3,2661406.260254,2657148.000000,2823213.250000,2868639.250000,3173685,6,2616869.460938,2595592.500000,2802014.000000,2870656.400000,6708000,9,2566257.037109,2553490.500000,2714981.750000,2774979.300000,6624259,2602077.000000,103657.500000,1.820641
XMSSMT-SHA2_20/4_256,sign_ns,3,2,8358759.275391,9045027.500000,11854738.350000,11937717.140000,12093982,7,7601992.580078,8225768.500000,10789542.400000,10876423.390000,16911630,12,7744437.521484,8397454.000000,11000236.150000,11062931.160000,11094852,8556083.333333,819259.000000,5.089470
XMSSMT-SHA2_20/4_256,verify_ns,3,2,5451175.946289,5435963.000000,5679479.000000,5776664.670000,5838574,7,5295131.340820,5270676.000000,5499157.750000,5584655.270000,9874240,12,5056813.341797,5052380.000000,5282081.250000,5368503.210000,10074186,5253006.333333,383583.000000,3.770265
